"ResponseId","country","hate_definition","hate_definition_cleaned"
"R_3FIEhwMBcNhRZpz","tur","İnsanlık suçu olarak goruyorum","I see it as a crime against humanity"
"R_3pm1LZvs6uwDzfu","tur","Yaşam sekline ve düşunceye mudahele.","Interference with lifestyle and thought."
"R_31n2IoOpAvHGrtV","tur","Kişi kendisine saldırı hissederse kötü hissederse aşağılanmış hissederse nefret söylemidir","If the person feels attacked, feels bad, feels humiliated, it is hate speech."
"R_3HozvTcERl2zbxj","tur","Kişinin sağlığına direk tehtid oluşturan unsurlar.","Elements that pose a direct threat to a person&#39;s health."
"R_TsVAKApTETfG5xL","tur","Bir grubu aşağılayıcı ve yaralayıcı söylemler.","Discourses that are degrading and hurtful to a group."
"R_afQTd8aj6KWYLUR","tur","görünüş ve görüşlere hakaret","insult to appearance and views"
"R_3hGaK1BCD7cGOAl","tur","Eğitimsiz kişilerin tüm söylemleri Nefret içerikli","All speeches of uneducated people contain hate content"
"R_1FbMPa19gnpnXOz","tur","Irka ve dine , şahsa karşı nefret ifadeleri.","Expressions of hatred against race, religion, and individuals."
"R_3lDlrVRKrFc9vgm","tur","Hakaret aşağılama ve zorbalık içeren herşey nefret içerir","Anything that involves insults, humiliation and bullying constitutes hatred."
"R_3qZDDUedJaPHSja","tur","nefretle söylenen her şey","everything said with hate"
"R_enyFQkjcJr6GW2J","tur","Hakaret ve aşağılama nefret söylemidir.","Insult and humiliation are hate speech."
"R_27ePzC9SwwpYsBp","tur","Bilmiyorum","I don&#39;t know"
"R_rr7bclgEWV4SQbn","tur","İnsanlık  dışı","Inhuman"
"R_A7CTwgqBxllViLL","tur","Temel yaşam haklarına aykırı güçlü saldırgan fikirler","Strong offensive ideas that violate fundamental rights to life"
"R_2wdE1WO6yLjsY78","tur","Siyasal kültürel felsefi anlamda ayrıksı grupları taciz ve tehdit","Harassing and threatening exceptional groups in political, cultural and philosophical terms"
"R_2CPyGZOe1pp2bFy","tur","Kişileri ruhsal olarak yaralayan şeyleri nefret söylemi olarak görüyorum","I see things that hurt people psychologically as hate speech."
"R_yUqqih34vO55Q4h","tur","Hakli Bir topluma karşı olan büyük  nefret.","Justified: Great hatred towards a society."
"R_2WNZj2XkNEpHWmg","tur","NEFRET SÖYLEMLERİ: HAKLI DAYANAKLARI VARSA; YERİ GELDİĞİNDE, ÖZGŪRCE DİLE GETİRİLMELİDİR.","HATE SPEECH: IF THEY ARE JUSTIFIED; WHEN APPROPRIATE, IT SHOULD BE EXPRESSED FREELY."
"R_2S6NI69nGpqGiso","tur","Nefret söylemine müsaade edilmemelidir.","Hate speech should not be allowed."
"R_3OlhwQIm2dHNiMT","tur","Fikir düşünce ve kişi hürriyetini kısıtlayıcı, karşı tarafın düşüncesine saygı duymayan barbar insan zihniyeti. Kendini geliştirmemiz toplum yapısı. Tahammülsüzlük.","A barbaric human mentality that restricts the freedom of thought and person and does not respect the other party&#39;s opinion. Self-improvement is the social structure. Intolerance."
"R_1F3WJ0GkQ3dgDO3","tur","Nefret söylemi başkalarını digerierine karşı nefret oluşturmak için bilinçli yapılan her tür davranış","Hate speech is any behavior done consciously to create hatred towards others."
"R_1oGCpkhCPJxGVnb","tur","Belirli bir dini, etnik, politik gruba, bir cinse, cinsel yönelime karşı hakaret ve ayrımcılık içeren, şiddeti ve ayrımcılığı körükleyen söz ve davranışlar. Kişiye değil, insanlığa karşı işlenen suçlar olduğunu, bu nedenle düşünce özgürlüğü kapsamında değerlendirilemeyeceğini düşünüyorum. Irkçılık gibi, homofobi gibi.","Words and behaviors that insult and discriminate against a certain religious, ethnic, political group, gender or sexual orientation, and that incite violence and discrimination. I think that these are crimes against humanity, not individuals, and therefore cannot be considered within the scope of freedom of thought. Like racism, like homophobia."
"R_23VkRqQrbge1Q65","tur","Bütün etnik kökenlere, derilerinin renklerine, farklı inanışlara, kendi halkına (muhaliflerine) karşı yapılan söylemler nefret söylemidir ve cezalandırılmalıdır.","Speech against all ethnicities, skin colors, different beliefs, and one&#39;s own people (opponents) is hate speech and must be punished."
"R_3QFUjetqLycV9ja","tur","Hakaret veya tehdit içeren söylemler. Irk, cinsiyet, din, dil, görünüş konusunda ayrımcılık içeren, ötekileştirdiği kesime şiddet uygulanmasını teşvik eden, küfür içeren, rencide edici saldırgan ifadeler.","Insulting or threatening statements. Offending and offensive expressions that discriminate against race, gender, religion, language or appearance, encourage violence against marginalized groups, contain profanities."
"R_8oHe8a6PbKFxUaJ","tur","karşısındaki insana düşmanca davranış veya düşmanlık ifade eden sözlerin söylenmesi, aşağılama, kötüleme gibi","Hostile behavior towards the other person or uttering words expressing hostility, humiliation, denigration, etc."
"R_2D2NFz6P9BdXxQA","tur","Belirli bir toplumsal grubu özellikle halihazırda marjinalize edilmiş azınlıkların can ve mal güvenliğini tehdit edebilecek söylem ve yorumlar.","Discourses and comments that may threaten the life and property security of a particular social group, especially already marginalized minorities."
"R_Cfy6wbF9aHmAaLn","tur","İnsanların benliğini ve kendine olan güvenini kaybettiren şeydir nefret söylemi. Herkes farklı fikirde elbette olacaktır ama iş bunlara saygı duymaktadır","Hate speech is what makes people lose their identity and self-confidence. Of course, everyone will have different opinions, but the business respects them."
"R_2Tt7KEPL4rHFfQS","tur","Gürültü bir nefret söylemidir. 
Akışa ters olan, düzeni bozan şey(ler) nefret söylemidir. 
Fıtrata ters olan nefret söylemidir. 
(Misallerle daha iyi anlayacağınız kanaatindeyim. Bu yüzden böyle anlatmak istedim.)","Noise is hate speech. Anything that goes against the flow and disrupts the order is hate speech. It is hate speech that is contrary to nature. (I think you will understand it better with examples. That&#39;s why I wanted to explain it this way.)"
"R_3qk83XUXbkxTU8S","tur","Kişileri ayrıştırıcı ve  küçük düşürücü sözler hakaret etme. Ve milli ve manevi değerlere saygısızlık","Do not insult people with discriminatory or humiliating words. And disrespect to national and moral values"
"R_2scndRIFAGfs1Sq","tur","Küfür, aşağılama yoksa eleştirmekte herkes özgür. Veya eleştirilen kesim veya şey cidden suçlu veya suçunu bile bile yapan biriyse o kişiye istenilen söylenebilir.","If there is no swearing or insulting, everyone is free to criticise. Or, if the person or thing being criticized is seriously guilty or someone who knowingly committed the crime, that person can be told whatever he wants."
"R_BKu8DhYxGrvTMZz","tur","Nefret söylemi paylaşımda bulunsnların ya da egemenlerin kışkırtıcı, saldırgan veya küçümseyici tavırlarından ileri gelmektedir.","Hate speech arises from the provocative, aggressive or condescending attitudes of those who share it or those in power."
"R_qOxc5cbSOhqDI4h","tur","Bir gruba ya da kişiye, cinsel yönelimi ya da ırkı nedeniyle hedef göstererek ve doğrudan şiddet çağrısında bulunma.","Targeting a group or person because of their sexual orientation or race and directly calling for violence."
"R_2frjvLM0pFSb9MX","tur","Sahip olduğu statü nedeniyle (etnik, dini, davranış özgürlüğü, ekonomik durum, eğitim) aşağılamak, hakaret etmek, küfür, tehdit, ötekileştirmek nefret söylemidir.","Insulting, insulting, swearing, threatening, or marginalizing people because of their status (ethnic, religious, freedom of behavior, economic situation, education) is hate speech."
"R_3qIJw2ebabLz6Bc","tur","Bir kişi, ırk, soy ,grup için yok etmek, şiddete yönlendirmek, kişi yada kişilerin fiziksel, maddi ve manen zarar vermek istemesi","Wanting to destroy a person, race, lineage or group, directing them to violence, or causing physical, material and moral harm to a person or people"
"R_1hAuk7FBPGbfZ57","tur","Bir grubu tehdit ve grubun yaşamına müdahale içeren, bu gruba yönelik toplu reaksiyonu tetikleyecek nitelikte olup söz konusu grubun insan haklarını ve özgürlüklerini tehlikeye atabilecek her türlü söz, eylem ve davranışlar nefret söylemidir. Herkes birbirinin fikir ve görüşlerine saygı göstermelidir. Ancak kendisini koruyamayacak durumda olan bireyleri, grupları tehlikeye atan ve onlara karşı müdahale çağrısı içeren her türlü söz, eylem ve davranış otoritelerce kontrol altında tutulmak zorundadır. Yani mesela yasal olarak çocuk yaşta evliliği yasaklayıp sonra da siyasal çıkarlar için çocuğa tecavüzü meşru gösterenlere destek veremezsiniz çünkü çocuk kendisini koruyamaz. Ya da İstanbul'un göbeğinde LGBTQ karşıtı nefret yürüyüşü örgütlenmesine izin veremezsiniz çünkü bu grubun kendi kendini koruma gücü sınırlıdır. Başkasının varlığına, yaşamına, özgürlüklerine müdahale/yasaklama/cezalandırma içeren tüm söz, eylem ve davranışlar nefret söylemidir. Ben türbanlı kadını başını açmaya zorlayacak söylem ve eylem göstermiyorsam o da benim yaşam biçimime müdahale edecek bir söylem veya eylem göstermeyecektir. Beğenmeyebilir, eleştirebilir ama bana zorla başımı örtmemi sağlamayı amaçlayan baskı oluşturacak bir söylem, eylem tamamen nefret içeriklidir. Herkes yek diğerinin hakkına saygı göstermelidir.","All kinds of words, actions and behaviors that threaten a group and interfere with the group&#39;s life, that will trigger a collective reaction against this group, and that may endanger the human rights and freedoms of the group in question are hate speech. Everyone should respect each other&#39;s ideas and opinions. However, all kinds of words, actions and behaviors that endanger individuals or groups who are unable to protect themselves and call for intervention against them must be kept under control by the authorities. So, for example, you cannot legally ban child marriage and then support those who legitimize child rape for political gains because the child cannot protect himself. Or you cannot allow the organization of an anti-LGBTQ hate march in the heart of Istanbul because this group has limited power to protect itself. All words, actions and behaviors that involve interfering with/prohibiting/punishing someone else&#39;s existence, life and freedom are hate speech. If I do not show any discourse or action that will force the veiled woman to uncover her head, she will not show any discourse or action that will interfere with my way of life. He may not like it, he may criticize it, but any discourse or action that will put pressure on me and force me to cover my head is completely hateful. Everyone should respect each other&#39;s rights."
"R_1pmqh3DviXha5E3","tur","Karşıdaki her hangi bir şeye karşı belirli kelimeleriyle ve ya ifadeleriyle rahatsız hissettiriyorsa bu bir nefret söylemidir çünkü karşıda ki kim ve ne olursa olsun fikir özgürlüğüne sahiptir ona fikirlerinden ve ya görünüş tarzı şeyler saldırmak bunların hepsi nefret söylemidir","If someone makes the other person feel uncomfortable with certain words or expressions towards anything, this is hate speech because the other person has freedom of opinion no matter who and what they are. Attacking them with their ideas or appearance, all of these are hate speech."
"R_3gSjlHExUsaJ0UJ","tur","Kadını objeleştirmek tacize uğramasını hakettiğini savunmak. Farklılıkları kabul etmeyip insanları kendi kalıplarına sokarak hakaret etmek","Objectifying women and arguing that they deserve to be harassed. Insulting people by not accepting their differences and putting them into their own stereotypes"
"R_Xk0HGUnXruw0Q93","tur","Yönlendirilen eleştiri hedef kişi veya kitlenin değişmesi imkansız özellik ve aslına dairse nefret söylemi kapsamında telakki edilebilir
Nefret söylemi olmayan saldırgan üslup görüş açıklama kapsamında olsa bile tartismayi noktalayan bir uctaysa yani yanıt verilmesi mümkün değilse engellenebilir","If the criticism directed towards the target person or group is of a character and nature that is impossible to change, it can be considered within the scope of hate speech. Even if the aggressive tone that is not hate speech is within the scope of expressing an opinion, it can be blocked if it is at an end that ends the discussion, that is, if it is not possible to respond."
"R_1C7MT9aMedKejzx","tur","İnsanlar birbirlerine saygılı olmalı, fikirlerini özgürce ifade edebilmeli. Etnik kimlikleri yüzünden ayıplanmamalı. Dini inançlarına hakaret edilmemeli.","People should respect each other and express their opinions freely. They should not be shamed because of their ethnic identity. Their religious beliefs should not be insulted."
"R_1q32puFXPFbcixL","tur","Nefret söylemi ve nefret suçu kavramlarının sürekli birbirleriyle karıştırıldığını düşünüyorum. Nefret söylemi, doğrudan ve gerçekleşmesi olasılığı bulunan şiddete yönlendirmediği sürece, serbest olmalıdır. Ne zaman ki şiddete doğrudan yönlendirme gerçekleşir ve gerçekten bir nefret suçu işlenmesi riski doğar, işte ancak o zaman bunun bir cezası olabilir.","I think the concepts of hate speech and hate crime are constantly confused with each other. Hate speech should be allowed as long as it does not lead to direct and imminent violence. When direct incitement to violence occurs and there is a real risk of committing a hate crime, only then can there be a punishment for this."
"R_3fuzAOIcWsTRk2n","tur","Birey, topluluk, inanç ve başka bir kişi ya da toplulukların özgürlüğüne zarar verici, hakaret edici, küçük düşürücü, eleştirel maske altında tehdit edici söylem ya da tutum.","A discourse or attitude that harms the freedom of an individual, community, belief or another person or group, is insulting, humiliating and threatening under a critical mask."
"R_3sAD7H6SQNJ1M9B","tur","İnancından, siyasi düşüncesinden, renginden, ırkından dolayı elimine edilme çabası nefret söylemidir.","The effort to eliminate people because of their belief, political opinion, color or race is hate speech."
"R_6PSaPB9G9LEqIbn","tur","Aslında genel geçer etik ve insan hakları kapsamında ne nefret söylemi olarak kabul ediliyorsa onlar nefret soylemidir, bu konuda insan hakları yasalarının ve etik degerlerin yeterince geliştiğini düşünüyorum. Bunlar dikkate alınsa yeterli, insanların nefret söylemi konusundaki fikirleri bence çok önemli değil.","In fact, whatever is accepted as hate speech within the scope of general ethics and human rights is hate speech. I think that human rights laws and ethical values are sufficiently developed in this regard. These are enough to take into consideration, I think people&#39;s opinions about hate speech are not very important."
"R_1dzYVb7OIUJUXLb","tur","Muhatabını, korkutan, şüphe uyandıran, tehdit eden her türlü hakaret, aşağılama, küfür ve tehdit nefret söylemidir.","Any insult, humiliation, swearing or threat that frightens, raises suspicion or threatens the addressee is hate speech."
"R_3lFTpWB1rla9AUf","tur","Başkasının tercihlerini saygıyla karşılayamayıp kendisine direkt olarak bir etkisi olmadığı halde o tercihleri zorla değiştirme konusunda o kişiye zarar verici aksiyon almak üzerine söylemler. Sonunda yapabileceği hiç birşey olmasa da bunun sözle dahi olsa söylenmesi.","Discourses about not being able to respect someone else&#39;s preferences and taking harmful action to force that person to change those preferences even though it has no direct impact on them. In the end, even though there is nothing he can do, he is told this even verbally."
"R_2c59RKvw056NpBF","tur","Sadece kendi çıkarlarını göz önünde bulundurarak kendinden başka hiçkimseyi önemsemeyerek davranmak , konuşmak , yazmak.","Acting, speaking, writing, considering only one&#39;s own interests and disregarding anyone but oneself."
"R_2tEgriIpgQ9TRAu","tur","Nefret söylemi uydurma bir kavramdır. Yetişkin hayata adapte olamayan, kaçınılmaz şekilde karşılaşılacak zorbalarla mücadele etmekten korkan, eleştiri ile yüzleşemeyen, zayıf karakterli, yetişkin bedenindeki çocukların uydurmasıdır. Hayat adil değildir, ve toplum içinde yaşama belli oranda adapte olmak insan ırkı olarak hepimizin zorunluluğudur. Zorluklarla yüzleşmek ve mücadele etmek kişinin kendi sorumluluğudur ve gelişiminin bir parçasıdır.","Hate speech is a made-up concept. It is a fabrication of children with weak characters and adult bodies who cannot adapt to adult life, are afraid of fighting against the bullies they will inevitably encounter, and cannot face criticism. Life is not fair, and it is our obligation as the human race to adapt to life in society to a certain extent. Facing and struggling with difficulties is one&#39;s own responsibility and is part of one&#39;s development."
"R_12MsYCS5MA6sqCb","tur","Kişilerin fikir veya sahip oldukları özellikleri veya dahil olduğu toplulukları hor görmek, küçümsemek, aşağılamak","To belittle, despise, belittle people&#39;s ideas or characteristics, or the communities they belong to."
"R_AGm1LIGHGikAMwx","tur","Küfür dinlere saldırmak dillere saldırmak hakaret ler kadınlara karşı küfür ayrımcılık cinsiyet ayrımcılığı butur şeyler.","Blasphemy, attacking religions, attacking languages, insults, swearing against women, discrimination against women, gender discrimination, etc."
"R_BXMemh8TvChqGJP","tur","Gerçekleşen her kötü olayın müsebbibi kimse o kişiyi birey olarak ele almayan bir gruba ait sayan ve genelleme yapan her cümle nefret soylemidir.","Any sentence that generalizes and considers the person responsible for every bad event to belong to a group that does not consider that person as an individual is a hate speech."
"R_2q8nrgBsfQcrj4C","tur","Gerçek anlamda, kişilik haklarını, ifade özgürlüğünü, kendini ifade etme hakkını elinden alan her türlü çirkin, aşağılayıcı, saldırgan, psikolojik, fiziksel, rahatsızlık veren söylemler bence nefret söylemi.","In real terms, I think all kinds of ugly, humiliating, aggressive, psychological, physical and disturbing speeches that take away personal rights, freedom of expression and the right to express oneself are hate speech."
"R_27ImuVFuA4HiDQW","tur","Din Irk Mezhep gibi seçimlere karşı aşağılayıcı sözler söylenmesidir. Ayrıca insanların değiştiremeyeceği fiziksel özellikleri ile alakalı da kötü sözler söylenmesidir.","It means saying derogatory words against elections such as religion, race, sect. In addition, bad things are said about people&#39;s physical characteristics that they cannot change."
"R_vp1krhYOgqsxXpf","tur","Yaşam ve huzur hakkının, varolmayı sürdürme hakkının yok edilmesine yönelik her türlü söylem nefret söylemi sayılabilir","Any speech aimed at destroying the right to life and peace and the right to continue to exist can be considered hate speech."
"R_OfhKehqMxfAtjmF","tur","Belli bir kesimi tehdit eden, küçük gören, aşağılayan, saldırgan, başkalarını kışkırtabilecek ve hakaret içeren söylemler.","Speech that threatens, belittles, humiliates, is offensive to a certain group of people, may provoke others, and contains insults."
"R_2pLy6FVyAzGPM6h","tur","İnsanların inançlarına, ırkına, cinsiyetine veya herhangi bir değerine somut veya soyut yapılan her şey kötüdür.","Anything concrete or abstract that affects people&#39;s beliefs, race, gender or any other value is bad."
"R_2ttF2OvLXAsbGor","tur","Bir kaç yıl sonra dinler tamamen bitecek ve bu asalak dincilerden tamamen kurtulacağız çünkü hepsi bok çukurlarına dönmüş olacaklar","In a few years, religions will be completely extinct and we will get rid of these parasitic religious people because they will all turn into shitholes."
"R_1MiTSHngCtdWfPb","tur","Bazı insanları ötekileştirme, onların düşünce, inanç ve yaşama biçimlerini kabul edilemez bularak sindirmeye çalışmak, hakaret etmek, tehdit etmek.","Otherizing some people, trying to intimidate them by finding their thoughts, beliefs and lifestyles unacceptable, insulting and threatening them."
"R_32YoxQhzdiOySHj","tur","Kişisel ve/ veya toplumsal olarak bireylerin ahlaki ve özellikleri konusunda küçük düşürücü alaycı söylemler","Humiliating and sarcastic remarks about individuals&#39; morals and characteristics, personally and/or socially"
"R_OBZKAMwjS6npAFr","tur","Fiziksel ya da ruhsal zarar verme kastıyla, bir kişi ya da topluluğun yaşam hakkını elinden alma amacı taşıyan tüm söylemler.","All statements that aim to deprive a person or group of people&#39;s right to life, with the intention of causing physical or psychological harm."
"R_vv3RvYr5E3CBm3n","tur","Nefret söylemi kendisinin kabul etmediği ve ya karşı çıktığı bir konuda öfkesini belirli bir sınırdan fazla olacak bir şekilde karşısındakine bireysel olarak yansıtmak.","Hate speech is the individual reflection of one&#39;s anger on the other person, beyond a certain limit, on an issue that one does not accept or opposes."
"R_86bLujSBfi8OhGx","tur","bir insanın zarar görmesi hakkında dileklerde bulunmak, ırkı, cinsiyeti gibi durumlardan yargılayıp hakaret etmek.","Wishing for harm to a person, judging and insulting them based on their race or gender."
"R_A5moqxGRloJrkqJ","tur","Herhangi bir kimse tarafından kullanıcı kişi ya da kişilerin haysiyetine zarar gelecek herhangi bir söylemde bulunmak, kişilerin cinsiyet, din ve ırkı üzerinden taciz, istismar vs. kullanımlar ve kişinin hürriyet ve canıyla tehdit edildiği tüm konu veya durumlar nefret söylemidir.","Making any statement by anyone that would harm the dignity of the user or persons, harassment, abuse, etc. based on the gender, religion and race of the user. Any use or situation where a person&#39;s freedom or life is threatened is hate speech."
"R_2ceClEjcXtsraE5","tur","Kişileri, duyguları, düşünceleri, eylemleri, ülkeleri veya kurumları kışkırtıcı aşağılayıcı yada hakaret içerikli söylemleri","Provocative, derogatory or insulting statements about people, feelings, thoughts, actions, countries or institutions"
"R_81bgf63F6JRsW7n","tur","Küfür, Hakaret, Irkçılık, Cinsiyetçilik, Dinlere yönelik saldırganlık, Tehdit, Taciz, Azınlıklara yönelik saldırganlıklar, baskı vb.","Swearing, Insults, Racism, Sexism, Aggression towards Religions, Threats, Harassment, Aggression towards Minorities, oppression, etc."
"R_pGedcUQnom5HcU9","tur","Doğaya, hayvan(lar)a, insana ya da her türden insan topluluğuna açıkça zarar vermeye yönelik plan yapan, organize olma ve eyleme geçme potansiyeli açık olan kişi ve grupların açıklamalarını ve iletişimini nefret söylemi olarak değerlendiriyorum.","I consider the statements and communications of individuals and groups who clearly plan to harm nature, animal(s), humans, or any kind of human community, and who have the potential to organize and take action, as hate speech."
"R_upHJXjcqWMv3S9z","tur","Herkesin kendine özgü fikri var ve başka bir insanın bu fikre katılmaması ve kendince çürütmeye çalışması normal. Ama söylem kişiliğe ve fikre hakaret etmek olmamalı. Tehdit ve şiddet içermemeli.","Everyone has their own opinion and it is normal for another person to disagree with that idea and try to refute it in their own way. But the discourse should not be to insult personality and idea. It should not contain threats or violence."
"R_2QnPc6wbuNQOv2Y","tur","Kisinin ailesine .ırkina.dini inancina veya inançsızlığına. Cinsel terciğine yaplilan hakaretler.nefret söylemidir.","To one&#39;s family, race, religious belief or lack of belief. Insults against one&#39;s sexual preferences are hate speech."
"R_1IMpFgVLqhZlTns","tur","Nefret söylemi, birisini incitebilecek herhangi bir sözdür. Ancak kesinlikle söylenen söz ne kadar ağır olduğu önemli olmaksızın, söyleyen kişi devlet tarafından cezalandırılmamalıdır. (Hapis, para cezası vb.)","Hate speech is any word that could hurt someone. However, no matter how serious the word said, the person who said it should not be punished by the state. (Prison, fine, etc.)"
"R_2Sejce21HOjWyzE","tur","İnsanları inanç, dil ve cinsiyet kimlikleri üzerinden ötekileştirerek yapılan her hakarete nefret söylemi olarak değerlendiririm ...","I consider every insult made by alienating people based on their belief, language and gender identities as hate speech..."
"R_1AFhgXU3o1JgkLv","phl","Dapat mag isip mabuti bago mqgpost ng mga bagay bagay","You should think carefully before mqgposting things"
"R_2QWMGf6pdKt2fvw","phl","Ang hate speech. Ay wla paki.alam kung ano man ang mararamdaman ng ibang tao..","The hate speech. Please don&#39;t know how other people feel.."
"R_1hXSBklREuD0pLJ","phl","Nasa pananalita po iyon,kaya ingatan ang dila para hindi makasakit sa kapwa of kahit saan...","It&#39;s in speech, so take care of your tongue so as not to hurt others or anywhere..."
"R_10IVwpdVUKwgRfq","phl","Kapag ang Isinulat ay masyadong yuuyurak sa isang tao o gtupo ng tao","When what is written is too offensive to a person or group of people"
"R_6x6DdiNsBGlM8U1","phl","Hating on an idea or a person without justification","Hating on an idea or a person without justification"
"R_2ruxTJiActN3OZE","phl","nagbabanta na pumatay","threatening to kill"
"R_3ebguArjKaV9IUN","phl","salita na maaring makasakit sa isang tao ng hindi naman nya deserve","words that can hurt someone who doesn&#39;t deserve it"
"R_3g0pS6Tu5Kou8pq","phl","Parang survey lang at para sa ikakaayos ng social media at ng mga gumagamit sa social media","It&#39;s just like a survey and it&#39;s for social media and social media users"
"R_2tf1wRliZuenT9m","phl","Kapag ang nilalaman nito ay nakaapekto sa isang tao o isang minorya","When its content affects a person or a minority"
"R_3KD64T5yPbJbw04","phl","Kung ito nakakasakit sa damdamin ng tao o nalilibak ang kanyang pagkatao","If it hurts the person&#39;s feelings or ridicules his personality"
"R_1NFlJfFUhblOrWj","phl","Personal na tinitira Ang pagka tao basi sa relehiyon,kasarian Ng Isang tao","Being a person is considered personal based on the religion, gender of a person"
"R_40iADXqRgessrHb","phl","Anything injurius. 
Kahit anong salita na hindi nakalulugod sa Diyos","Anything injurious. Any word that displeases God"
"R_1rjlaPatP1MNs3e","phl","Nag mumura0","Swearing 0"
"R_UcqEuCBp15YHtqV","phl","Yung salitang direktang nagsasaad ng hate sa anumang topic.","The word that directly indicates hate on any topic."
"R_2uqD3JTC6HtvFpT","phl","Na","Already"
"R_2SjlQ5GC0kSbOEe","phl","Pag sobrang mapanakit sa pagkatao ang post.","If the post is too offensive to the character."
